"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"22.05.2017","68,36","68,00","68,50","68,00","0,05K","1,14%"
"19.05.2017","67,59","68,10","68,10","68,10","0,02K","0,07%"
"18.05.2017","67,54","68,50","68,50","67,50","0,10K","-1,44%"
"17.05.2017","68,53","67,25","68,60","67,25","0,17K","2,21%"
"16.05.2017","67,05","66,90","67,25","66,90","0,03K","1,09%"
"15.05.2017","66,33","65,75","66,50","65,75","0,05K","-0,21%"
"12.05.2017","66,47","66,47","66,47","66,47","0,03K","-0,12%"
"11.05.2017","66,55","66,85","67,00","66,85","0,11K","-1,55%"
"10.05.2017","67,60","67,00","67,50","67,00","0,12K","0,52%"
"09.05.2017","67,25","67,50","67,50","66,90","0,09K","-0,52%"
"08.05.2017","67,60","69,00","69,00","67,60","0,06K","-2,71%"
"05.05.2017","69,48","69,70","69,70","69,50","0,14K","-0,69%"
"04.05.2017","69,96","70,00","70,00","70,00","0,06K","-1,09%"
"03.05.2017","70,73","71,00","71,00","70,75","0,07K","-1,01%"
"02.05.2017","71,45","71,50","71,60","71,45","0,06K","-0,33%"
"01.05.2017","71,69","71,69","71,69","71,69","-","0,00%"
"28.04.2017","71,69","72,00","72,00","72,00","0,03K","-1,12%"
"27.04.2017","72,50","72,60","72,60","72,50","0,04K","1,38%"
"26.04.2017","71,51","71,51","71,51","71,51","0,02K","1,06%"
"25.04.2017","70,76","70,90","70,90","70,75","0,05K","-0,60%"
"24.04.2017","71,19","71,70","71,70","71,25","0,03K","-1,68%"
"21.04.2017","72,41","72,41","72,41","72,41","0,04K","-0,14%"
"20.04.2017","72,51","72,50","72,65","72,50","0,03K","0,74%"
"19.04.2017","71,98","72,50","72,50","71,90","0,02K","-0,14%"
"18.04.2017","72,08","71,70","72,30","71,70","0,02K","0,39%"
"17.04.2017","71,80","71,80","71,80","71,80","-","0,00%"
"13.04.2017","71,80","72,10","72,10","72,00","0,01K","0,45%"
"12.04.2017","71,48","72,00","72,25","71,50","0,02K","-0,29%"
"11.04.2017","71,69","71,50","71,75","71,50","0,01K","-0,57%"
"10.04.2017","72,10","73,00","73,00","72,50","0,01K","-2,57%"
"07.04.2017","74,00","74,50","74,50","74,00","0,03K","-1,07%"
"06.04.2017","74,80","74,90","75,00","74,75","0,04K","-0,68%"
"05.04.2017","75,31","74,50","75,30","74,20","0,01K","1,29%"
"04.04.2017","74,35","76,25","76,25","74,50","0,06K","-2,06%"
"03.04.2017","75,91","74,00","76,00","74,00","0,12K","4,43%"
"31.03.2017","72,69","73,00","73,25","72,65","0,03K","0,36%"
"30.03.2017","72,43","71,60","72,50","71,60","0,04K","-0,36%"
"29.03.2017","72,69","72,50","72,75","72,10","0,04K","0,40%"
"28.03.2017","72,40","70,85","72,40","70,85","0,03K","2,26%"
"27.03.2017","70,80","72,00","72,00","70,75","0,03K","-1,16%"
"24.03.2017","71,63","71,75","72,00","71,75","0,01K","0,62%"
"23.03.2017","71,19","70,75","71,25","70,50","0,02K","2,02%"
"22.03.2017","69,78","69,85","70,25","69,85","0,04K","-1,02%"
"21.03.2017","70,50","71,05","71,05","70,40","0,05K","-1,41%"
"20.03.2017","71,51","72,00","72,00","71,50","0,04K","-1,58%"
"17.03.2017","72,66","73,00","73,00","72,50","0,01K","0,35%"
"16.03.2017","72,41","73,00","73,00","72,25","0,03K","-0,81%"
"15.03.2017","73,00","73,00","73,50","72,70","0,03K","0,83%"
"14.03.2017","72,40","73,90","74,25","72,40","0,02K","-0,82%"
"13.03.2017","73,00","72,75","73,25","72,60","0,02K","1,70%"
"10.03.2017","71,78","71,40","72,00","71,40","0,07K","1,82%"
"09.03.2017","70,50","71,15","71,25","70,40","0,10K","-1,45%"
"08.03.2017","71,54","71,45","72,00","71,25","0,07K","-0,75%"
"07.03.2017","72,08","73,00","73,15","72,00","0,05K","-2,83%"
"06.03.2017","74,18","73,70","74,10","73,65","0,01K","-0,23%"
"03.03.2017","74,35","75,00","75,00","74,00","0,03K","-1,08%"
"02.03.2017","75,16","76,00","76,00","75,05","0,06K","-1,11%"
"01.03.2017","76,00","75,25","76,25","75,00","0,03K","1,33%"
"28.02.2017","75,00","75,30","75,40","75,00","0,01K","-0,71%"
"27.02.2017","75,54","75,40","75,40","75,40","0,01K","-1,00%"
"24.02.2017","76,30","76,50","76,50","76,25","0,01K","0,14%"
"23.02.2017","76,19","76,25","76,50","76,25","0,01K","0,97%"
"22.02.2017","75,46","75,50","75,50","75,50","0,01K","-0,59%"
"21.02.2017","75,91","77,00","77,00","76,15","0,01K","-0,63%"
"20.02.2017","76,39","75,00","77,00","75,00","0,06K","3,10%"
"17.02.2017","74,09","74,09","74,09","74,09","-","0,65%"
"16.02.2017","73,61","74,00","74,00","74,00","0,04K","0,68%"
"15.02.2017","73,11","73,00","73,50","73,00","0,03K","1,25%"
"14.02.2017","72,21","71,90","72,25","71,90","0,00K","-0,07%"
"13.02.2017","72,26","72,00","72,00","71,90","0,01K","-0,07%"
"10.02.2017","72,31","72,00","72,60","72,00","0,01K","-0,32%"
"09.02.2017","72,54","72,50","72,50","72,50","0,02K","0,35%"
"08.02.2017","72,29","72,50","72,50","72,50","0,20K","-0,50%"
"07.02.2017","72,65","72,00","72,90","72,00","0,06K","0,26%"
"06.02.2017","72,46","72,00","72,00","72,00","0,01K","-0,82%"
"03.02.2017","73,06","73,45","73,45","72,95","0,08K","-1,02%"
"02.02.2017","73,81","73,50","73,50","73,50","0,03K","1,60%"
"01.02.2017","72,65","73,00","73,00","72,50","0,01K","0,22%"
"31.01.2017","72,49","72,35","73,00","72,35","0,02K","2,04%"
"30.01.2017","71,04","71,00","71,00","71,00","0,01K","-9,51%"
"27.01.2017","78,51","78,51","78,51","78,51","-","-1,62%"
"26.01.2017","79,80","79,80","79,80","79,80","0,01K","0,01%"
"25.01.2017","79,79","79,79","79,79","79,79","0,01K","-0,20%"
"24.01.2017","79,95","79,95","79,95","79,95","0,02K","-0,09%"
"23.01.2017","80,02","80,00","80,00","80,00","0,00K","0,81%"
"20.01.2017","79,38","79,38","79,38","79,38","-","0,76%"
"19.01.2017","78,78","78,78","78,78","78,78","0,01K","-0,66%"
"18.01.2017","79,30","79,30","79,30","79,30","0,03K","-0,86%"
"17.01.2017","79,99","79,99","79,99","79,99","0,02K","2,39%"
"16.01.2017","78,12","78,12","78,12","78,12","-","-0,29%"
"13.01.2017","78,35","78,35","78,35","78,35","0,01K","-1,94%"
"12.01.2017","79,90","79,90","79,90","79,90","0,01K","2,42%"
"11.01.2017","78,01","78,01","78,01","78,01","0,01K","3,01%"
"10.01.2017","75,73","75,73","75,73","75,73","-","1,23%"
"09.01.2017","74,81","74,81","74,81","74,81","0,01K","-1,04%"
"06.01.2017","75,60","76,50","76,50","76,50","0,01K","-2,63%"
"05.01.2017","77,64","79,00","79,00","79,00","0,01K","-2,29%"
"04.01.2017","79,46","79,46","79,46","79,46","-","0,14%"
"03.01.2017","79,35","80,00","80,00","80,00","0,01K","-3,09%"
"30.12.2016","81,88","81,88","81,88","81,88","-","0,16%"
"29.12.2016","81,75","81,75","81,75","81,75","0,01K","1,84%"
"28.12.2016","80,27","80,27","80,27","80,27","0,02K","2,45%"
"27.12.2016","78,35","78,35","78,35","78,35","-","0,00%"
"23.12.2016","78,35","78,35","78,35","78,35","-","0,20%"
"22.12.2016","78,19","78,19","78,19","78,19","-","-0,38%"
"21.12.2016","78,49","78,49","78,49","78,49","0,01K","1,08%"
"20.12.2016","77,65","77,65","77,65","77,65","0,03K","3,49%"
"19.12.2016","75,03","75,00","75,00","75,00","0,03K","0,52%"
"16.12.2016","74,64","74,64","74,64","74,64","0,01K","1,19%"
"15.12.2016","73,76","73,76","73,76","73,76","0,02K","0,89%"
"14.12.2016","73,11","73,11","73,11","73,11","0,07K","1,64%"
"13.12.2016","71,93","71,93","71,93","71,93","0,01K","0,32%"
"12.12.2016","71,70","72,25","72,25","72,25","0,02K","1,79%"
"09.12.2016","70,44","71,25","71,25","71,00","0,06K","0,47%"
"08.12.2016","70,11","69,20","70,00","69,20","0,11K","3,56%"
"07.12.2016","67,70","68,00","68,00","67,50","0,01K","-0,88%"
"06.12.2016","68,30","69,00","69,00","68,50","0,05K","-4,66%"
"05.12.2016","71,64","71,64","71,64","71,64","0,06K","-0,07%"
"02.12.2016","71,69","71,50","71,50","71,00","0,01K","-1,10%"
"01.12.2016","72,49","72,49","72,49","72,49","-","0,26%"
"30.11.2016","72,30","72,00","72,00","72,00","0,01K","0,98%"
"29.11.2016","71,60","71,60","71,60","71,60","0,02K","-1,58%"
"28.11.2016","72,75","72,75","72,75","72,75","0,02K","1,41%"
"25.11.2016","71,74","71,74","71,74","71,74","0,01K","-1,13%"
"24.11.2016","72,56","72,00","72,00","72,00","0,04K","2,50%"
"23.11.2016","70,79","70,79","70,79","70,79","0,12K","-4,65%"
"22.11.2016","74,24","71,00","74,25","71,00","0,10K","6,21%"
"21.11.2016","69,90","69,50","69,50","69,50","0,02K","2,04%"
"18.11.2016","68,50","68,50","68,50","68,50","0,02K","-3,52%"
"17.11.2016","71,00","70,00","71,00","70,00","0,11K","-1,43%"
"16.11.2016","72,03","74,00","74,00","72,00","0,06K","-4,49%"
"15.11.2016","75,42","74,30","75,15","74,30","0,26K","-1,22%"
"14.11.2016","76,35","79,00","79,00","78,00","0,05K","-6,41%"
"11.11.2016","81,58","81,58","81,58","81,58","0,04K","-3,23%"
"10.11.2016","84,30","84,30","84,30","84,30","0,08K","-1,66%"
"09.11.2016","85,72","85,72","85,72","85,72","0,03K","-0,10%"
"08.11.2016","85,81","85,81","85,81","85,81","0,03K","-1,65%"
"07.11.2016","87,25","87,00","87,00","87,00","0,06K","2,25%"
"04.11.2016","85,33","85,25","85,25","85,25","0,06K","1,77%"
"03.11.2016","83,85","83,50","83,50","83,50","0,14K","0,76%"
"02.11.2016","83,22","84,00","84,00","83,50","0,12K","-2,34%"
"01.11.2016","85,21","83,25","86,00","83,25","0,15K","4,62%"
"31.10.2016","81,45","79,80","80,00","79,80","0,03K","3,64%"
"28.10.2016","78,59","79,00","79,00","78,25","0,05K","0,26%"
"27.10.2016","78,39","79,05","79,40","77,75","0,05K","-1,09%"
"26.10.2016","79,25","79,50","80,50","79,50","0,09K","0,99%"
"25.10.2016","78,47","78,25","79,25","78,25","0,08K","0,74%"
"24.10.2016","77,89","77,50","77,75","77,50","0,04K","0,83%"
"21.10.2016","77,25","77,00","77,25","77,00","0,02K","2,74%"
"20.10.2016","75,19","75,00","75,00","75,00","0,01K","-0,62%"
"19.10.2016","75,66","78,65","78,65","76,00","0,07K","-4,57%"
"18.10.2016","79,28","78,40","78,40","78,40","0,03K","3,73%"
"17.10.2016","76,43","76,43","76,43","76,43","0,03K","3,30%"
"14.10.2016","73,99","73,15","74,00","73,15","0,09K","3,22%"
"13.10.2016","71,68","71,00","72,10","71,00","0,13K","1,91%"
"12.10.2016","70,34","69,25","70,00","69,25","0,17K","3,75%"
"11.10.2016","67,80","68,85","69,75","68,50","0,20K","-2,45%"
"10.10.2016","69,50","68,65","69,50","68,65","0,02K","-1,08%"
"07.10.2016","70,26","71,50","71,50","71,50","0,03K","-2,48%"
"06.10.2016","72,05","72,20","72,20","72,20","0,15K","1,05%"
"05.10.2016","71,30","71,20","71,20","71,10","0,07K","0,28%"
"04.10.2016","71,10","71,40","71,40","71,40","0,04K","0,31%"
"03.10.2016","70,88","69,45","69,60","69,45","0,04K","3,78%"
"30.09.2016","68,30","68,30","68,30","68,30","0,12K","-2,69%"
"29.09.2016","70,19","71,00","71,00","71,00","0,07K","1,09%"
"28.09.2016","69,43","67,00","68,25","67,00","0,16K","4,01%"
"27.09.2016","66,75","66,90","66,90","66,90","0,11K","0,09%"
"26.09.2016","66,69","66,69","66,69","66,69","0,05K","1,03%"
"23.09.2016","66,01","66,00","66,00","66,00","0,07K","0,53%"
"22.09.2016","65,66","66,20","66,20","66,20","0,05K","-1,19%"
"21.09.2016","66,45","65,70","65,90","65,70","0,03K","1,76%"
"20.09.2016","65,30","65,25","65,25","65,20","0,04K","0,09%"
"19.09.2016","65,24","65,05","65,05","65,05","0,03K","1,46%"
"16.09.2016","64,30","64,30","64,30","64,30","0,04K","0,06%"
"15.09.2016","64,26","64,10","64,20","64,10","0,07K","0,59%"
"14.09.2016","63,88","63,65","64,00","63,40","0,12K","0,68%"
"13.09.2016","63,45","63,00","63,30","63,00","0,07K","1,13%"
"12.09.2016","62,74","62,15","62,75","62,10","0,05K","-0,22%"
"09.09.2016","62,88","62,00","62,75","62,00","0,06K","-0,05%"
"08.09.2016","62,91","63,70","63,70","63,50","0,04K","-0,98%"
"07.09.2016","63,53","63,75","63,75","63,45","0,08K","-2,93%"
"06.09.2016","65,45","65,30","65,60","65,30","0,19K","0,80%"
"05.09.2016","64,93","65,10","65,10","65,10","0,08K","1,29%"
"02.09.2016","64,10","64,25","64,25","64,25","0,09K","0,71%"
"01.09.2016","63,65","63,70","63,70","63,70","0,12K","0,32%"
"31.08.2016","63,45","64,50","64,50","63,55","0,12K","-0,14%"
"30.08.2016","63,54","63,50","63,50","63,50","0,06K","1,97%"
"29.08.2016","62,31","62,31","62,31","62,31","-","0,00%"
"26.08.2016","62,31","62,31","62,31","62,31","0,01K","0,66%"
"25.08.2016","61,90","61,90","61,90","61,90","0,04K","0,24%"
"24.08.2016","61,75","62,30","62,30","62,30","0,04K","-0,88%"
"23.08.2016","62,30","62,25","62,25","61,70","0,06K","0,92%"
"22.08.2016","61,73","60,60","60,60","60,60","0,05K","0,33%"
"19.08.2016","61,53","62,20","62,20","62,00","0,06K","-2,01%"
"18.08.2016","62,79","63,80","63,80","63,80","0,13K","-2,33%"
"17.08.2016","64,29","64,45","64,45","64,45","0,15K","-0,11%"
"16.08.2016","64,36","64,36","64,36","64,36","0,03K","-0,46%"
"15.08.2016","64,66","64,66","64,66","64,66","0,01K","-1,07%"
"12.08.2016","65,36","64,50","65,00","64,50","0,03K","2,05%"
"11.08.2016","64,05","64,05","64,05","64,05","0,05K","2,32%"
"10.08.2016","62,60","62,60","62,60","62,60","0,05K","-2,54%"
"09.08.2016","64,23","64,23","64,23","64,23","0,06K","0,52%"
"08.08.2016","63,90","63,90","63,90","63,90","0,03K","4,87%"
"05.08.2016","60,93","60,93","60,93","60,93","0,09K","-3,59%"
"04.08.2016","63,20","63,20","63,20","63,20","0,10K","-3,19%"
"03.08.2016","65,28","65,28","65,28","65,28","0,02K","-0,85%"
"02.08.2016","65,84","65,84","65,84","65,84","0,02K","-0,78%"
"01.08.2016","66,36","66,50","67,00","66,50","0,04K","0,15%"
"29.07.2016","66,26","66,25","66,25","65,95","0,04K","-0,15%"
"28.07.2016","66,36","67,00","67,00","66,50","0,09K","0,96%"
"27.07.2016","65,73","65,73","65,73","65,73","0,03K","1,62%"
"26.07.2016","64,68","64,68","64,68","64,68","0,04K","1,71%"
"25.07.2016","63,59","63,59","63,59","63,59","-","0,97%"
"22.07.2016","62,98","62,98","62,98","62,98","-","-0,35%"
"21.07.2016","63,20","63,20","63,20","63,20","-","0,00%"
"20.07.2016","63,20","63,20","63,20","63,20","0,03K","-0,57%"
"19.07.2016","63,56","63,56","63,56","63,56","0,02K","-1,30%"
"18.07.2016","64,40","64,40","64,40","64,40","0,01K","-0,29%"
"15.07.2016","64,59","64,59","64,59","64,59","0,01K","1,59%"
"14.07.2016","63,58","63,58","63,58","63,58","0,05K","0,62%"
"13.07.2016","63,19","63,19","63,19","63,19","0,09K","1,12%"
"12.07.2016","62,49","62,49","62,49","62,49","0,05K","3,87%"
"11.07.2016","60,16","60,16","60,16","60,16","0,01K","-0,74%"
"08.07.2016","60,61","60,61","60,61","60,61","0,02K","-1,37%"
"07.07.2016","61,45","61,45","61,45","61,45","0,06K","1,49%"
"06.07.2016","60,55","60,55","60,55","60,55","0,03K","-0,62%"
"05.07.2016","60,93","60,93","60,93","60,93","0,02K","-0,78%"
"04.07.2016","61,41","61,41","61,41","61,41","0,05K","1,84%"
"01.07.2016","60,30","60,30","60,30","60,30","0,04K","2,15%"
"30.06.2016","59,03","59,03","59,03","59,03","0,01K","1,53%"
"29.06.2016","58,14","58,14","58,14","58,14","0,01K","0,87%"
"28.06.2016","57,64","57,64","57,64","57,64","-","0,51%"
"27.06.2016","57,35","57,35","57,35","57,35","0,01K","-1,12%"
"24.06.2016","58,00","58,00","58,00","58,00","0,01K","-2,34%"
"23.06.2016","59,39","59,39","59,39","59,39","0,01K","-0,83%"
"22.06.2016","59,89","59,89","59,89","59,89","0,01K","3,15%"
"21.06.2016","58,06","58,06","58,06","58,06","0,10K","-3,87%"
"20.06.2016","60,40","60,40","60,40","60,40","0,20K","4,48%"
"17.06.2016","57,81","57,81","57,81","57,81","0,07K","2,21%"
"16.06.2016","56,56","56,56","56,56","56,56","0,01K","0,82%"
"15.06.2016","56,10","56,10","56,10","56,10","0,01K","0,97%"
"14.06.2016","55,56","55,56","55,56","55,56","0,04K","0,56%"
"13.06.2016","55,25","54,65","54,65","54,65","0,04K","0,09%"
"10.06.2016","55,20","55,40","55,40","55,40","0,01K","-1,34%"
"09.06.2016","55,95","55,95","55,95","55,95","0,04K","-0,44%"
"08.06.2016","56,20","56,20","56,20","56,20","0,18K","-0,71%"
"07.06.2016","56,60","56,45","56,45","56,45","0,07K","0,37%"
"06.06.2016","56,39","56,39","56,39","56,39","0,10K","2,71%"
"03.06.2016","54,90","54,90","54,90","54,90","0,04K","1,33%"
"02.06.2016","54,18","54,18","54,18","54,18","0,11K","1,65%"
"01.06.2016","53,30","53,30","53,30","53,30","0,02K","0,32%"
"31.05.2016","53,13","53,13","53,13","53,13","0,02K","1,10%"
"30.05.2016","52,55","52,55","52,55","52,55","-","0,00%"
"27.05.2016","52,55","52,55","52,55","52,55","0,02K","0,52%"
"26.05.2016","52,28","52,28","52,28","52,28","0,03K","1,00%"
"25.05.2016","51,76","51,76","51,76","51,76","0,06K","1,27%"
"24.05.2016","51,11","51,11","51,11","51,11","0,02K","0,02%"
"23.05.2016","51,10","51,10","51,10","51,10","-","-0,25%"
"20.05.2016","51,23","51,23","51,23","51,23","0,02K","0,25%"
"19.05.2016","51,10","51,10","51,10","51,10","0,05K","-0,58%"
"18.05.2016","51,40","51,40","51,40","51,40","0,07K","0,33%"
"17.05.2016","51,23","51,23","51,23","51,23","0,09K","0,33%"
"16.05.2016","51,06","51,06","51,06","51,06","-","1,71%"
"13.05.2016","50,20","50,20","50,20","50,20","0,01K","-0,18%"
"12.05.2016","50,29","50,29","50,29","50,29","0,06K","0,00%"
"11.05.2016","50,29","50,29","50,29","50,29","-","1,07%"
"10.05.2016","49,76","49,76","49,76","49,76","0,06K","0,04%"
"09.05.2016","49,74","49,74","49,74","49,74","0,06K","-0,64%"
"06.05.2016","50,06","50,06","50,06","50,06","0,03K","-0,85%"
"05.05.2016","50,49","50,49","50,49","50,49","0,08K","0,18%"
"04.05.2016","50,40","50,40","50,40","50,40","0,03K","-0,41%"
"03.05.2016","50,61","50,61","50,61","50,61","0,02K","0,26%"
"02.05.2016","50,48","50,48","50,48","50,48","-","0,00%"
"29.04.2016","50,48","50,48","50,48","50,48","0,11K","0,60%"
"28.04.2016","50,18","50,18","50,18","50,18","0,13K","-0,83%"
"27.04.2016","50,60","50,60","50,60","50,60","0,08K","-0,26%"
"26.04.2016","50,73","50,73","50,73","50,73","0,05K","1,79%"
"25.04.2016","49,84","49,84","49,84","49,84","0,01K","0,08%"
"22.04.2016","49,80","49,80","49,80","49,80","0,13K","0,24%"
"21.04.2016","49,68","49,68","49,68","49,68","0,11K","1,43%"
"20.04.2016","48,98","48,98","48,98","48,98","0,19K","0,14%"
"19.04.2016","48,91","48,91","48,91","48,91","0,18K","0,53%"
"18.04.2016","48,65","48,65","48,65","48,65","0,02K","1,48%"
"15.04.2016","47,94","47,94","47,94","47,94","0,02K","0,52%"
"14.04.2016","47,69","47,69","47,69","47,69","0,04K","2,60%"
"13.04.2016","46,48","46,48","46,48","46,48","0,01K","1,02%"
"12.04.2016","46,01","46,01","46,01","46,01","-","0,28%"
"11.04.2016","45,88","45,88","45,88","45,88","0,01K","1,10%"
"08.04.2016","45,38","45,38","45,38","45,38","0,01K","1,00%"
"07.04.2016","44,93","44,93","44,93","44,93","0,04K","-1,47%"
"06.04.2016","45,60","45,60","45,60","45,60","0,07K","-0,78%"
"05.04.2016","45,96","45,96","45,96","45,96","0,13K","-0,39%"
"04.04.2016","46,14","46,14","46,14","46,14","0,01K","-0,30%"
"01.04.2016","46,28","46,28","46,28","46,28","0,03K","-1,93%"
"31.03.2016","47,19","47,19","47,19","47,19","0,03K","1,03%"
"30.03.2016","46,71","46,71","46,71","46,71","0,06K","1,52%"
"29.03.2016","46,01","46,01","46,01","46,01","0,03K","-0,09%"
"28.03.2016","46,05","46,05","46,05","46,05","-","0,00%"
"24.03.2016","46,05","46,05","46,05","46,05","0,05K","0,55%"
"23.03.2016","45,80","45,80","45,80","45,80","0,03K","-0,54%"
"22.03.2016","46,05","46,05","46,05","46,05","0,01K","-1,24%"
"21.03.2016","46,63","46,63","46,63","46,63","0,03K","-0,04%"
"18.03.2016","46,65","46,65","46,65","46,65","0,04K","1,44%"
"17.03.2016","45,99","45,99","45,99","45,99","0,10K","2,02%"
"16.03.2016","45,08","45,08","45,08","45,08","0,03K","0,83%"
"15.03.2016","44,71","44,71","44,71","44,71","0,01K","-0,95%"
"14.03.2016","45,14","45,14","45,14","45,14","0,05K","-2,10%"
"11.03.2016","46,11","46,11","46,11","46,11","0,05K","0,28%"
"10.03.2016","45,98","45,98","45,98","45,98","0,06K","0,04%"
"09.03.2016","45,96","45,96","45,96","45,96","0,04K","3,10%"
"08.03.2016","44,58","44,58","44,58","44,58","0,07K","-1,11%"
"07.03.2016","45,08","45,08","45,08","45,08","0,02K","3,25%"
"04.03.2016","43,66","43,66","43,66","43,66","0,03K","1,46%"
"03.03.2016","43,03","43,03","43,03","43,03","0,06K","2,82%"
"02.03.2016","41,85","41,85","41,85","41,85","0,04K","1,01%"
"01.03.2016","41,43","41,43","41,43","41,43","0,01K","0,97%"
"29.02.2016","41,03","41,03","41,03","41,03","-","0,17%"
"26.02.2016","40,96","40,96","40,96","40,96","0,01K","0,12%"
"25.02.2016","40,91","40,91","40,91","40,91","-","0,44%"
"24.02.2016","40,73","40,73","40,73","40,73","0,02K","-0,39%"
"23.02.2016","40,89","40,89","40,89","40,89","0,02K","-2,18%"
"22.02.2016","41,80","41,80","41,80","41,80","0,02K","0,89%"
"19.02.2016","41,43","41,43","41,43","41,43","-","0,68%"
"18.02.2016","41,15","41,15","41,15","41,15","0,04K","1,08%"
"17.02.2016","40,71","40,71","40,71","40,71","0,03K","1,95%"
"16.02.2016","39,93","39,93","39,93","39,93","0,03K","-0,75%"
"15.02.2016","40,23","40,23","40,23","40,23","-","-0,37%"
"12.02.2016","40,38","40,38","40,38","40,38","-","1,13%"
"11.02.2016","39,93","39,93","39,93","39,93","0,02K","-1,04%"
"10.02.2016","40,35","40,35","40,35","40,35","0,10K","0,27%"
"09.02.2016","40,24","40,24","40,24","40,24","0,01K","-2,64%"
"08.02.2016","41,33","41,33","41,33","41,33","0,05K","0,71%"
"05.02.2016","41,04","41,04","41,04","41,04","0,04K","-0,77%"
"04.02.2016","41,36","41,36","41,36","41,36","0,06K","-1,59%"
"03.02.2016","42,03","42,03","42,03","42,03","0,06K","0,79%"
"02.02.2016","41,70","41,70","41,70","41,70","0,04K","1,24%"
"01.02.2016","41,19","41,19","41,19","41,19","0,01K","-10,38%"
"29.01.2016","45,96","45,96","45,96","45,96","-","-0,69%"
"28.01.2016","46,28","46,28","46,28","46,28","0,01K","-0,17%"
"27.01.2016","46,36","46,36","46,36","46,36","-","0,83%"
"26.01.2016","45,98","45,98","45,98","45,98","0,02K","1,14%"
"25.01.2016","45,46","45,46","45,46","45,46","-","-0,46%"
"22.01.2016","45,67","45,67","45,67","45,67","-","0,48%"
"21.01.2016","45,45","45,45","45,45","45,45","-","0,40%"
"20.01.2016","45,27","45,27","45,27","45,27","0,01K","-0,40%"
"19.01.2016","45,45","45,45","45,45","45,45","-","0,20%"
"18.01.2016","45,36","45,36","45,36","45,36","0,01K","-0,02%"
"15.01.2016","45,37","45,37","45,37","45,37","0,08K","-0,83%"
"14.01.2016","45,75","45,75","45,75","45,75","0,01K","0,82%"
"13.01.2016","45,38","45,38","45,38","45,38","0,04K","-1,37%"
"12.01.2016","46,01","46,01","46,01","46,01","0,07K","-1,75%"
"11.01.2016","46,83","46,83","46,83","46,83","0,03K","-1,39%"
"08.01.2016","47,49","47,49","47,49","47,49","0,02K","-2,28%"
"07.01.2016","48,60","48,60","48,60","48,60","0,01K","-0,49%"
"06.01.2016","48,84","48,84","48,84","48,84","0,04K","2,37%"
"05.01.2016","47,71","47,71","47,71","47,71","0,01K","1,10%"
"04.01.2016","47,19","47,19","47,19","47,19","0,03K","-0,97%"
"31.12.2015","47,65","47,65","47,65","47,65","-","-0,17%"
"30.12.2015","47,73","47,73","47,73","47,73","0,01K","0,00%"
"29.12.2015","47,73","47,73","47,73","47,73","0,01K","-0,29%"
"28.12.2015","47,87","47,87","47,87","47,87","-","0,00%"
"24.12.2015","47,87","47,87","47,87","47,87","-","0,15%"
"23.12.2015","47,80","47,80","47,80","47,80","0,01K","-0,06%"
"22.12.2015","47,83","47,83","47,83","47,83","0,01K","0,17%"
"21.12.2015","47,75","47,75","47,75","47,75","0,02K","-0,73%"
"18.12.2015","48,10","48,10","48,10","48,10","0,04K","-0,31%"
"17.12.2015","48,25","48,25","48,25","48,25","0,01K","-0,60%"
"16.12.2015","48,54","48,54","48,54","48,54","0,04K","-0,21%"
"15.12.2015","48,64","48,64","48,64","48,64","0,03K","0,43%"
"14.12.2015","48,43","48,43","48,43","48,43","0,05K","0,46%"
"11.12.2015","48,21","48,21","48,21","48,21","0,01K","-1,19%"
"10.12.2015","48,79","48,79","48,79","48,79","0,02K","-0,08%"
"09.12.2015","48,83","48,83","48,83","48,83","0,04K","0,08%"
"08.12.2015","48,79","48,79","48,79","48,79","0,01K","0,06%"
"07.12.2015","48,76","48,76","48,76","48,76","0,04K","-0,91%"
"04.12.2015","49,21","49,21","49,21","49,21","0,01K","-0,12%"
"03.12.2015","49,27","49,27","49,27","49,27","0,01K","0,65%"
"02.12.2015","48,95","48,95","48,95","48,95","0,09K","-0,73%"
"01.12.2015","49,31","49,31","49,31","49,31","0,02K","-0,84%"
"30.11.2015","49,73","49,73","49,73","49,73","0,07K","0,14%"
"27.11.2015","49,66","49,66","49,66","49,66","0,02K","0,40%"
"26.11.2015","49,46","49,46","49,46","49,46","0,04K","0,14%"
"25.11.2015","49,39","49,39","49,39","49,39","0,03K","-0,12%"
"24.11.2015","49,45","49,45","49,45","49,45","0,05K","0,82%"
"23.11.2015","49,05","49,05","49,05","49,05","0,06K","-0,69%"
"20.11.2015","49,39","49,39","49,39","49,39","0,03K","-0,30%"
"19.11.2015","49,54","49,54","49,54","49,54","0,02K","0,30%"
"18.11.2015","49,39","49,39","49,39","49,39","0,02K","-0,20%"
"17.11.2015","49,49","49,49","49,49","49,49","0,04K","0,94%"
"16.11.2015","49,03","49,03","49,03","49,03","0,06K","0,02%"
"13.11.2015","49,02","49,02","49,02","49,02","0,04K","-0,02%"
"12.11.2015","49,03","49,03","49,03","49,03","0,03K","-0,63%"
"11.11.2015","49,34","49,34","49,34","49,34","0,16K","-0,58%"
"10.11.2015","49,63","49,63","49,63","49,63","0,02K","-0,44%"
"09.11.2015","49,85","49,85","49,85","49,85","0,05K","-0,10%"
"06.11.2015","49,90","49,90","49,90","49,90","0,08K","-0,56%"
"05.11.2015","50,18","50,18","50,18","50,18","0,03K","-0,44%"
