Open,Close,High,Low,Volume,Date
0,56.05,0,0,,10/30/20
56.25,56.1,56.25,56.25,,10/29/20
0,56.5,0,0,,10/28/20
56.25,56.55,56.6,56.25,,10/27/20
0,56.7,0,0,,10/26/20
56.7,56.7,56.9,56.7,,10/23/20
0,56.75,0,0,,10/22/20
56.5,56.5,56.5,56.5,,10/21/20
57.1,57.1,57.1,57.1,,10/20/20
57.1,57.1,57.1,57.1,,10/19/20
56.95,57,56.95,56.95,,10/16/20
56.5,56.8,57.05,56.4,,10/15/20
56.8,56.6,56.8,56.8,,10/14/20
56.5,56.5,56.5,56.5,,10/13/20
57.3,56.85,57.3,56.75,,10/12/20
57.45,57.6,57.5,57.45,,10/09/20
57.6,57.7,57.6,57.6,,10/08/20
57.4,57.65,57.4,57.4,,10/07/20
0,57.7,0,0,,10/06/20
57.25,57.7,57.4,57.25,,10/05/20
56.8,56.4,56.8,56.4,,10/02/20
57.65,57.35,57.7,57.6,,10/01/20
56.75,57.2,57.1,56.75,,09/30/20
56.9,57.05,57.3,56.9,,09/29/20
56.7,57.2,57.3,56.7,,09/28/20
0,55.95,0,0,,09/25/20
52.3,52.25,52.3,52.3,,09/24/20
52.15,52.15,52.15,52.15,,09/23/20
0,52.1,0,0,,09/22/20
52,52.1,52,52,,09/21/20
51.9,52,51.9,51.9,,09/18/20
52.1,51.9,52.1,52.05,,09/17/20
52.05,51.9,52.05,52.05,,09/16/20
0,51.8,0,0,,09/15/20
0,51.7,0,0,,09/14/20
51.5,51.7,51.5,51.5,,09/11/20
51.75,51.7,51.75,51.75,,09/10/20
51.5,51.2,51.75,51.5,,09/09/20
51,51.2,51,51,,09/08/20
0,51,0,0,,09/07/20
0,51.4,0,0,,09/04/20
51.5,51.5,51.5,51.5,,09/03/20
52,51.5,52,51.4,,09/02/20
52.5,52.7,52.8,52.25,,09/01/20
52.75,52.9,52.75,52.75,,08/31/20
0,52.2,0,0,,08/28/20
0,48.9,0,0,,08/27/20
0,48.95,0,0,,08/26/20
0,48.9,0,0,,08/25/20
0,48.8,0,0,,08/24/20
0,48.65,0,0,,08/21/20
0,48.9,0,0,,08/20/20
0,49.15,0,0,,08/19/20
0,49.35,0,0,,08/18/20
0,49.4,0,0,,08/17/20
50,49.25,50,49.3,,08/14/20
49.5,49.5,49.5,49.5,,08/13/20
49.75,49.7,49.8,49.75,,08/12/20
50.5,50.3,50.5,50.35,,08/11/20
50.85,50.55,50.9,50.85,,08/10/20
0,50.8,0,0,,08/07/20
0,50.2,0,0,,08/06/20
51.5,51.3,51.5,51,,08/05/20
51.75,51.6,51.75,51.6,,08/04/20
51.75,51.7,51.75,51.65,,08/03/20
0,51.9,0,0,,07/31/20
0,49.85,0,0,,07/30/20
0,49.7,0,0,,07/29/20
0,49.7,0,0,,07/28/20
0,49.5,0,0,,07/27/20
49.6,49.55,49.6,49.6,,07/24/20
49.4,49.6,49.4,49.4,,07/23/20
0,49.7,0,0,,07/22/20
0,49.6,0,0,,07/21/20
48.7,49.05,49,48.7,,07/20/20
0,49.25,0,0,,07/17/20
