Open,Close,High,Low,Volume,Date
0,15256,15257,15255,,10/30/20
0,15394,15394,15392,,10/29/20
0,15819,15820,15818,,10/28/20
0,15602,15602,15601,,10/27/20
0,15397,15398,15396,,10/26/20
0,15768,15769,15767,,10/23/20
0,15706,15708,15706,,10/22/20
0,16064,16065,16063,,10/21/20
0,15792,15792,15790,,10/20/20
0,15652,15654,15652,,10/19/20
0,15602,15604,15602,,10/16/20
0,15353,15354,15351,,10/15/20
0,15105,15106,15104,,10/14/20
0,15199,15199,15190,,10/13/20
0,15216,15218,15216,,10/12/20
0,14990,14991,14988,,10/09/20
0,14570,14570,14570,,10/08/20
0,14570,14571,14569,,10/07/20
0,14642,14644,14642,,10/06/20
0,14359,14361,14359,,10/05/20
0,14271,14272,14269,,10/02/20
0,14430,14431,14428,,10/01/20
0,14385,14386,14384,,09/30/20
0,14470,14471,14469,,09/29/20
0,14415,14417,14415,,09/28/20
0,14285,14286,14284,,09/25/20
0,14179,14180,14178,,09/24/20
0,14365,14366,14364,,09/23/20
0,14554,14555,14553,,09/22/20
0,14692,14692,14690,,09/21/20
0,14908,14909,14906,,09/18/20
0,14895,14896,14894,,09/17/20
0,15159,15161,15159,,09/16/20
0,15229.5,15229.5,15229.5,,09/15/20
0,15089,15140,15089,,09/14/20
0,14935,14936,14934,,09/11/20
0,14747,14749,14747,,09/10/20
0,14822,14822,14820,,09/09/20
0,15115,15115,15115,,09/08/20
0,15185,15186,15184,,09/07/20
0,15210,15211,15209,,09/04/20
0,15135,15136,15134,,09/03/20
0,15658,15659,15657,,09/02/20
0,15660,15696,15659,,09/01/20
0,15414,15415,15412,,08/28/20
0,15034,15034,15034,,08/27/20
0,15034,15035,15033,,08/26/20
0,14880,14881,14879,,08/25/20
0,14862,14863,14861,,08/24/20
0,14562,14563,14561,,08/21/20
0,14620,14620,14620,,08/20/20
0,14706,14706,14704,,08/19/20
0,14601,14603,14601,,08/18/20
0,14541.5,14549,14541.5,,08/17/20
0,14234,14236,14234,,08/14/20
0,14106,14107,14105,,08/13/20
0,14167,14168,14166,,08/12/20
0,14153,14154,14152,,08/11/20
0,14146,14147,14145,,08/10/20
0,14334,14336,14334,,08/07/20
0,14380,14382,14380,,08/06/20
0,14250,14251,14249,,08/05/20
0,13887,13889,13887,,08/04/20
0,13682,13684,13682,,08/03/20
0,13756,13757,13755,,07/31/20
0,13716,13717,13715,,07/30/20
0,13762,13763,13761,,07/29/20
0,13470,13471,13469,,07/28/20
0,13718,13719,13717,,07/27/20
0,13430,13431,13429,,07/24/20
0,13460,13461,13459,,07/23/20
